
[검색조건]
지점명 : 고산, 기간 : 20190101 ~ 20191231
일자,기온(°C),풍속(m/s),체감기온(°C)
2019-01-01,5.1,11.4,0
2019-01-02,5.1,9.3,0.5
2019-01-03,5.4,6.7,1.6
2019-01-04,6.5,5.1,3.6
2019-01-05,6.8,7.7,3
2019-01-06,5.6,8.3,1.4
2019-01-07,6.2,7.3,2.4
2019-01-08,6.6,9.9,2.3
2019-01-09,4.1,6.6,0.2
2019-01-10,6.3,7,2.7
2019-01-11,7.2,4.7,4.7
2019-01-12,8.5,6.2,5.7
2019-01-13,7.8,7.1,4.6
2019-01-14,6.9,6.5,3.5
2019-01-15,7,9.7,2.9
2019-01-16,2.8,10.4,-2.8
2019-01-17,5.1,9.3,0.5
2019-01-18,6.4,5.5,3.3
2019-01-19,10.4,6.1,8.7
2019-01-20,6.9,12.6,2
2019-01-21,5.7,10.1,1
2019-01-22,8.2,7.9,4.8
2019-01-23,9,8.2,5.7
2019-01-24,6.7,7.5,3
2019-01-25,6.2,8.9,2
2019-01-26,3.9,12.8,-1.9
2019-01-27,5.7,6.7,2
2019-01-28,7.9,9.6,4.1
2019-01-29,5.8,5.3,2.6
2019-01-30,7.6,4.7,5.2
2019-01-31,4.5,9.8,-0.3
2019-02-01,4.5,10.7,-0.6
2019-02-02,9.3,6.7,6.7
2019-02-03,12.9,11.1,10.2
2019-02-04,6.8,8.7,3
2019-02-05,9,3.2,7.4
2019-02-06,12,2.8,11.3
2019-02-07,7.5,8.5,3.7
2019-02-08,2.7,7.8,-2.1
2019-02-09,2.8,9.5,-2.6
2019-02-10,2.8,6.8,-1.7
2019-02-11,3.5,9.8,-1.7
2019-02-12,5.3,5.3,2
2019-02-13,6,6.7,2.4
2019-02-14,4.9,5.6,1.4
2019-02-15,6.4,5.8,3.4
2019-02-16,4,10.8,-1.4
2019-02-17,3.8,8.1,-0.8
2019-02-18,6.6,3.9,4.3
2019-02-19,8.8,7.2,5.7
2019-02-20,6.6,6.1,3.3
2019-02-21,6.4,5.8,3.2
2019-02-22,7.9,5.4,5.2
2019-02-23,9,5.1,6.6
2019-02-24,11.4,3.6,10.2
