
[검색조건]
지점명 : 서귀포, 기간 : 20190101 ~ 20191231
일자,기온(°C),풍속(m/s),체감기온(°C)
2019-01-01,5.1,1.8,4.1
2019-01-02,5.2,0.9,5
2019-01-03,7,1.3,6.5
2019-01-04,9,0.9,9
2019-01-05,9.7,1.1,9.6
2019-01-06,9.6,1.2,9.5
2019-01-07,9.9,1.4,9.7
2019-01-08,9.2,1.4,8.8
2019-01-09,5.5,1.5,4.8
2019-01-10,8.6,1.1,8.4
2019-01-11,9.2,1.3,8.9
2019-01-12,10.4,1.1,10.3
2019-01-13,8.5,1.3,8.2
2019-01-14,8.6,1.5,8.1
2019-01-15,8.8,1.3,8.6
2019-01-16,4.8,1.1,4.5
2019-01-17,5.1,1.4,4.6
2019-01-18,6.8,1.6,6.2
2019-01-19,10.2,1.6,9.9
2019-01-20,9.4,2.3,8.6
2019-01-21,6,1.9,4.9
2019-01-22,7.4,1.5,6.9
2019-01-23,8.4,1.2,8.2
2019-01-24,8.8,1.8,8.3
2019-01-25,7.8,2,6.8
2019-01-26,4.6,1.8,3.6
2019-01-27,6.6,1.6,5.8
2019-01-28,8.3,2.2,7.4
2019-01-29,6.9,1.3,6.6
2019-01-30,9.5,1,9.3
2019-01-31,6.9,1.2,6.4
2019-02-01,4.9,1.7,4
2019-02-02,8.8,1.6,8.4
2019-02-03,13.8,3.5,13.2
2019-02-04,9.2,1.9,8.7
2019-02-05,9.3,1.5,9
2019-02-06,12.6,1.3,12.5
2019-02-07,11.8,1.2,11.7
2019-02-08,7.9,1.6,7.4
2019-02-09,5.7,1.3,5.2
2019-02-10,5.7,1,5.4
2019-02-11,5.4,1.5,4.5
2019-02-12,6.7,1.5,6
2019-02-13,8.5,1.4,8.2
2019-02-14,7.7,1.1,7.5
2019-02-15,8.5,1.2,8.3
2019-02-16,7,1.5,6.4
2019-02-17,7.1,1.8,6.5
2019-02-18,8.4,1.5,8
2019-02-19,12.8,2.4,12.4
2019-02-20,9.6,1.3,9.3
2019-02-21,10.1,1.4,9.8
2019-02-22,9.7,1.4,9.4
2019-02-23,10.4,1.9,9.9
2019-02-24,11.2,2.2,10.7
2019-02-25,10.9,1.6,10.6
2019-02-26,11.9,1.8,11.6
2019-02-27,11.3,2.2,10.8
2019-02-28,11.7,1.3,11.6
2019-03-01,11.2,1.6,11
2019-03-02,11.2,1.7,10.9
2019-03-03,11.7,2.6,11.1
2019-03-04,11.5,1.4,11.3
2019-03-05,11.7,1.3,11.4
2019-03-06,11.3,2.3,10.6
2019-03-07,10,1.7,9.6
2019-03-08,9.7,1.5,9.4
2019-03-09,11.4,1.9,10.9
2019-03-10,12.3,2.6,11.6
2019-03-11,10.9,2.5,10.1
2019-03-12,10.6,2.5,10
2019-03-13,8.3,2.2,7.3
2019-03-14,8.7,1.2,8.5
2019-03-15,10.1,2.8,9.3
2019-03-16,9,2.3,8.1
2019-03-17,13.3,2,13
2019-03-18,11.2,1.2,11
2019-03-19,13.1,1.2,13
2019-03-20,14.5,2.1,14.3
2019-03-21,15.4,1.9,15.3
2019-03-22,12.4,1.6,12.3
2019-03-23,9.9,2.3,9.2
2019-03-24,8.1,1.4,7.8
2019-03-25,9.3,1.1,9.2
2019-03-26,14.3,2,14.2
2019-03-27,15,2.4,14.9
2019-03-28,15.8,1.2,15.8
2019-03-29,16.2,1.5,16.2
2019-03-30,14.3,2,14
2019-03-31,7.9,1.9,7.1
2019-04-01,9.4,1.9,8.8
2019-04-02,12.5,1.5,12.5
2019-04-03,11.8,1.4,11.7
2019-04-04,11.2,2,10.7
2019-04-05,14.6,1.7,14.5
2019-04-06,13.6,1.6,13.6
2019-04-07,15.4,2.1,15.4
2019-04-08,15.2,1.1,15.2
2019-04-09,14.9,3,14.4
2019-04-10,12.9,1.8,12.6
2019-04-11,12.3,1.6,12.1
2019-04-12,13.7,2,13.6
2019-04-13,13.8,1.3,13.8
2019-04-14,15.9,1.8,15.8
2019-04-15,14.8,1.6,14.8
2019-04-16,16.3,1.4,16.3
2019-04-17,15.5,1.2,15.5
2019-04-18,15.5,1.8,15.5
2019-04-19,16.2,1.4,16.2
2019-04-20,16.4,1.5,16.4
2019-04-21,17.6,1,17.6
2019-04-22,19.8,1.4,19.8
2019-04-23,17.5,2.6,17.4
2019-04-24,17.9,2,17.9
2019-04-25,17.4,1,17.4
2019-04-26,14.6,1.4,14.6
2019-04-27,13.6,2,13.5
2019-04-28,14.9,2.2,14.8
2019-04-29,16.8,2,16.8
2019-04-30,16.7,1.4,16.7
2019-05-01,18.1,1.3,18.1
2019-05-02,19.6,1.5,19.6
2019-05-03,20.3,1.1,20.3
2019-05-04,19.7,1.1,19.7
2019-05-05,19.6,1.2,19.6
2019-05-06,18.4,1.4,18.4
2019-05-07,16,2,16
2019-05-08,16.3,1.2,16.3
2019-05-09,17.9,1.2,17.9
2019-05-10,18.9,1.3,18.9
2019-05-11,19.4,1.2,19.4
2019-05-12,19.3,1.3,19.3
2019-05-13,19.7,1.5,19.7
2019-05-14,20.7,1.3,20.7
2019-05-15,22.5,1.4,22.5
2019-05-16,22,1.6,22
2019-05-17,20.9,2.7,20.9
2019-05-18,19.7,2.7,19.7
2019-05-19,19.6,2.4,19.6
2019-05-20,18.4,1.7,18.4
2019-05-21,19.6,1.5,19.6
2019-05-22,20.1,2,20.1
2019-05-23,21,2.5,21
2019-05-24,23.3,2.2,23.3
2019-05-25,22.1,1.8,22.1
2019-05-26,21.7,0.8,21.7
2019-05-27,20.1,3,20.1
2019-05-28,20.4,1.2,20.4
2019-05-29,22.9,1.1,22.9
2019-05-30,22,1,22
2019-05-31,18.7,2,18.7
2019-06-01,19.3,1.1,19.3
2019-06-02,20.8,0.9,20.8
2019-06-03,21,1.2,21
2019-06-04,22.8,1.4,22.8
2019-06-05,23.1,1.3,23.1
2019-06-06,22.4,2,22.4
2019-06-07,21.3,2.7,21.3
2019-06-08,19.8,1.7,19.8
2019-06-09,20.1,1.7,20.1
2019-06-10,20,2,20
2019-06-11,20,1.5,20
2019-06-12,19.4,1.1,19.4
2019-06-13,20.4,1.7,20.4
2019-06-14,20.5,2.8,20.5
2019-06-15,22.5,1.5,22.5
2019-06-16,22.2,1,22.2
2019-06-17,20.9,1.1,20.9
2019-06-18,21.1,0.9,21.1
2019-06-19,21.8,1.4,21.8
2019-06-20,22.7,1.2,22.7
2019-06-21,22.9,1.1,22.9
2019-06-22,22.5,1.2,22.5
2019-06-23,22,2.1,22
2019-06-24,21.4,1.2,21.4
2019-06-25,24,2.3,24
2019-06-26,22.1,2.4,22.1
2019-06-27,23.8,1.9,23.8
2019-06-28,23.2,1.1,23.2
2019-06-29,23.7,1.8,23.7
2019-06-30,23,1.5,23
2019-07-01,22.1,0.8,22.1
2019-07-02,21.7,0.9,21.7
2019-07-03,22.1,0.7,22.1
2019-07-04,23,1.2,23
2019-07-05,24.6,1,24.6
2019-07-06,23.9,2.5,23.9
2019-07-07,22.9,3.3,22.9
2019-07-08,21.9,3.1,21.9
2019-07-09,22.1,2.7,22.1
2019-07-10,22.4,3.3,22.4
2019-07-11,24.9,1.3,24.9
2019-07-12,23,1,23
