
[검색조건]
지점명 : 제주, 기간 : 20190101 ~ 20191231
일자,기온(°C),풍속(m/s),체감기온(°C)
2019-01-01,5.7,5.2,2.5
2019-01-02,5.1,4.1,2.4
2019-01-03,5.2,2.7,3.4
2019-01-04,5.7,2,4.5
2019-01-05,7,3.2,5.1
2019-01-06,5.6,2.6,3.9
2019-01-07,5.7,2.1,4.4
2019-01-08,6.7,4.2,4.2
2019-01-09,4.4,3.2,2.2
2019-01-10,6.8,2.9,5.1
2019-01-11,7.7,2.4,6.4
2019-01-12,9,2.7,7.8
2019-01-13,8.1,3.5,6.3
2019-01-14,7.2,2.1,6.2
2019-01-15,7.2,4.1,5
2019-01-16,3.1,4.4,-0.3
2019-01-17,5.4,4.4,2.6
2019-01-18,6.5,2,5.5
2019-01-19,8.4,2.1,7.5
2019-01-20,7.2,5.5,4.3
2019-01-21,6,4.5,3.2
2019-01-22,8.3,3.5,6.5
2019-01-23,8.7,3.5,7
2019-01-24,6.5,2,5.4
2019-01-25,5.8,3.9,3.5
2019-01-26,4.2,5.8,0.5
2019-01-27,5.4,2.4,4
2019-01-28,8,4.5,5.7
2019-01-29,6,2,4.9
2019-01-30,8.1,1.6,7.5
2019-01-31,5.2,4.8,2.3
2019-02-01,4.8,4.9,1.6
2019-02-02,8.7,2.2,7.7
2019-02-03,13.5,5.2,12.4
2019-02-04,7.3,3.5,5.5
2019-02-05,9,2.9,7.9
2019-02-06,11.9,1.9,11.6
2019-02-07,7.1,3.4,5.1
2019-02-08,3.3,2.9,1
2019-02-09,3.1,4.4,-0.3
2019-02-10,3.1,3.2,0.4
2019-02-11,3.7,4.4,0.5
2019-02-12,5.2,2.3,3.9
2019-02-13,7,3.3,5.1
2019-02-14,5.5,2.3,4.1
2019-02-15,6.2,2.3,4.9
2019-02-16,4.5,4.7,1.3
2019-02-17,4.2,3.2,1.9
2019-02-18,6.7,2.1,5.7
2019-02-19,9.3,4,7.6
2019-02-20,6.9,2.4,5.7
2019-02-21,7.1,2.5,5.8
2019-02-22,8.4,1.9,7.7
2019-02-23,9,2.5,8.1
2019-02-24,11.2,2.4,10.6
2019-02-25,9.6,2.7,8.5
2019-02-26,8.7,1.9,8
2019-02-27,10.7,2.2,10.1
2019-02-28,10.6,3.3,9.5
2019-03-01,9.3,2.2,8.6
2019-03-02,10.7,2.1,10.3
2019-03-03,11.8,2.9,11
2019-03-04,10.2,3.4,8.8
2019-03-05,10.3,2,9.7
2019-03-06,10.7,3.4,9.5
2019-03-07,8.3,4.7,6
2019-03-08,8.2,1.6,7.6
2019-03-09,11.1,2.4,10.4
2019-03-10,11.1,4.1,9.7
2019-03-11,10.1,4.1,8.5
2019-03-12,10.7,5.3,8.8
2019-03-13,8.1,5.1,5.6
2019-03-14,10,3.2,8.7
2019-03-15,10.4,4.9,8.6
2019-03-16,9.4,4.3,7.6
2019-03-17,11.7,2.9,10.9
2019-03-18,10.5,2,9.9
2019-03-19,12.3,2.4,11.9
2019-03-20,15.3,3.8,15.1
2019-03-21,11.5,5,9.8
2019-03-22,7.7,3.7,5.7
2019-03-23,8.6,4.9,6.3
2019-03-24,7.3,2.8,5.7
2019-03-25,9.6,2.3,8.8
2019-03-26,13.7,3.5,13
2019-03-27,16.2,2.6,16.1
2019-03-28,14.8,2.5,14.6
2019-03-29,14,1.9,14
2019-03-30,11.7,4.5,10.2
2019-03-31,8.5,6.4,5.6
2019-04-01,10.1,4.8,8.1
2019-04-02,10.8,3.2,9.7
2019-04-03,10.4,2.5,9.7
2019-04-04,10.8,3.1,9.8
2019-04-05,14.2,3.9,13.5
2019-04-06,14.9,2.2,14.8
2019-04-07,16.2,2.5,16.1
2019-04-08,14.6,1.5,14.6
2019-04-09,15.2,5.2,14.3
2019-04-10,10.8,4.1,9.3
2019-04-11,11.4,2.4,10.8
2019-04-12,13,2.1,12.7
2019-04-13,13.5,2.1,13.3
2019-04-14,13.7,2.4,13.4
2019-04-15,12.9,2,12.7
2019-04-16,16.5,2,16.4
2019-04-17,16.1,2.9,15.9
2019-04-18,16.5,2.3,16.5
2019-04-19,17,3,16.9
2019-04-20,17.1,3.2,17
2019-04-21,18.3,1.7,18.3
2019-04-22,19.4,3.5,19.4
2019-04-23,19.2,3.8,19.1
2019-04-24,18.4,3.7,18.4
2019-04-25,15.9,2.2,15.9
2019-04-26,12.5,4.4,11.2
2019-04-27,13.9,3.8,13.2
2019-04-28,14.8,2.9,14.5
2019-04-29,15.9,3.7,15.6
2019-04-30,15.6,2.3,15.5
2019-05-01,14.6,3.5,14.1
2019-05-02,16.9,3.2,16.7
2019-05-03,18.7,2.5,18.7
2019-05-04,19.1,1.4,19.1
2019-05-05,19.2,2.1,19.2
2019-05-06,16.1,3.3,15.9
2019-05-07,15.6,2.5,15.5
2019-05-08,16,1.8,16
2019-05-09,17.3,2,17.3
2019-05-10,17.5,1.9,17.5
2019-05-11,18.5,2.1,18.5
2019-05-12,18.7,2,18.7
2019-05-13,20,2.3,20
2019-05-14,20.6,2.8,20.6
2019-05-15,21.1,2.9,21.1
2019-05-16,23.1,2.3,23.1
2019-05-17,21.5,3.4,21.5
2019-05-18,20.5,5.2,20.4
2019-05-19,21.8,4.5,21.8
2019-05-20,17.6,4.2,17.4
2019-05-21,18.8,3.4,18.8
2019-05-22,23.1,4.2,23.1
2019-05-23,26.1,4.6,26.1
2019-05-24,28.6,4.8,28.6
2019-05-25,23.7,2.7,23.7
