지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 풍속(m/s),최대 풍속 풍향(16방위),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최저 해면기압(hPa),평균 해면기압(hPa),가조시간(hr),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C)
184,제주,2020-01-01,5.2,2.4,7.3,,8.2,0,4.9,20,2.4,206280,320,-1.3,53.7,63,5.6,1030.2,1034.9,1031.4,1032.8,9.9,9,9,6,2.2
184,제주,2020-01-02,8.1,5.5,9.2,,6,300.9,3.6,320,2,169560,320,2.2,62.3,67,7.2,1027.4,1031.8,1028.7,1030,9.9,8.3,7.8,7.2,1.9
184,제주,2020-01-03,8.8,6.4,11.4,,8.5,337.5,4.6,290,2.2,194040,290,2.9,60,67,7.5,1024.7,1029.3,1025.8,1027.3,9.9,6.4,5.9,8.2,0
184,제주,2020-01-04,7.9,5.1,11.4,,7.1,258.8,4.3,290,2.2,189720,180,1.9,55.2,67,7,1024,1028.5,1025.2,1026.6,9.9,2,2,7.3,-.5
184,제주,2020-01-05,8.5,4.3,11.1,,5.8,104.1,3.9,50,2.1,178560,70,1.4,44.1,62,6.8,1026.6,1031.2,1027.7,1029.2,9.9,6,4.9,7.1,-2
184,제주,2020-01-06,14.5,10.1,18.9,.3,11.6,180,6.2,230,2.2,186840,230,7.1,43.1,63,10.7,1020.3,1027.8,1018.5,1022.8,9.9,10,6.3,10.1,8.2
184,제주,2020-01-07,19.2,12.8,23.6,12.4,23.5,239.1,11.5,230,6.8,587520,200,13.4,54,70,15.4,1009.9,1018.5,1006.8,1012.3,9.9,8.9,6.6,15.3,10.7
184,제주,2020-01-08,8.1,6.9,13.2,1.4,20.2,270,11.4,270,7.2,6229,290,2.7,58,68.9,7.5,1017.5,1024.7,1010.9,1020.1,10.1,9,9,8.6,6.3
184,제주,2020-01-09,7.3,6.7,8.2,,9.2,290,5.2,320,3.1,2665,320,1.2,60,65.5,6.7,1021.8,1025.3,1023.5,1024.4,10.1,9.4,7,7.7,4.3
184,제주,2020-01-10,8,4.3,11,,6.3,50,4.7,20,1.9,1662,20,1.2,45,63,6.7,1019.8,1024.7,1020.6,1022.4,10.1,5.5,5.3,7.9,-1
184,제주,2020-01-11,8,6.9,9.1,,9,20,5.4,360,3.2,2730,360,.8,52,60.4,6.5,1017.2,1022.4,1017.9,1019.8,10.1,9.1,5,7.8,3.4
184,제주,2020-01-12,7.5,6.7,8.5,0,13.3,320,7.3,320,5.3,4540,320,-.1,48,59.1,6.1,1017,1022.3,1017.6,1019.6,10.1,8.6,8.1,7,4.7
184,제주,2020-01-13,7.1,6.1,8.8,0,10.8,320,6.5,320,4,3488,320,-1,48,56.6,5.7,1021,1025.1,1021.4,1023.6,10.1,9,8.6,6.9,4.5
184,제주,2020-01-14,4.8,3.4,6.2,4.6,9.7,20,5.6,20,2.4,2086,20,.4,59,73.5,6.3,1022.6,1027.2,1023.3,1025.2,10.2,8.3,6.8,5.8,-.5
184,제주,2020-01-15,5.6,4.6,7.2,0,11.5,20,6.2,20,3.5,3020,360,-1.1,51,61.8,5.6,1025.1,1029.5,1026.5,1027.7,10.2,8.9,7.4,5.7,.9
184,제주,2020-01-16,6.3,4.6,8,,6.9,20,3.8,360,1.9,1599,320,-2,42,55.8,5.3,1022.7,1027.4,1023.6,1025.3,10.2,9.4,3,6.8,2.7
184,제주,2020-01-17,6.9,6,9.2,,8.4,320,5.1,320,3.1,2694,320,-2.3,39,52,5.2,1020.2,1024.2,1021.5,1022.8,10.2,5.5,5.3,6.8,2
184,제주,2020-01-18,7,6.2,9,,11.8,360,5.7,320,4,3454,320,-.7,52,58,5.8,1019.4,1023.1,1020.8,1022,10.2,5.8,5.8,6.3,2.4
184,제주,2020-01-19,8.6,5.9,10,0,11,290,6.2,320,4,3438,290,.7,48,58,6.5,1018.9,1022.7,1020,1021.5,10.3,8.8,7.9,6.4,.8
184,제주,2020-01-20,8.4,7.1,10.9,,10.7,320,6,320,4.6,3934,320,-1.4,39,50.3,5.5,1022.1,1028,1022,1024.7,10.3,5.5,5.5,7.1,3.8
185,고산,2020-01-01,5.2,2.5,6.9,,12.7,334.7,9.7,340,6.4,556920,360,-.1,64.8,69,6.1,1023,1033.9,1030.7,1031.9,9.9,8.8,8,5.1,1.8
185,고산,2020-01-02,8,5,9.5,,10.4,340.3,8.4,360,5.2,453240,360,3,65.5,71,7.6,1020.5,1031.3,1028.2,1029.4,9.9,7.8,5.5,6.6,3.2
185,고산,2020-01-03,8.8,6.9,10.5,,12.2,357.2,9.4,360,7,603720,360,4,65.7,73,8.2,1017.6,1028.7,1025.1,1026.4,9.9,,,7.3,5.2
185,고산,2020-01-04,8.2,6.4,10.1,,12.1,340.3,9.3,340,6.9,594720,360,3.2,63.6,71,7.7,1016.8,1027.5,1024.3,1025.6,9.9,2.1,1.5,7.3,4.1
185,고산,2020-01-05,9.3,5.8,13.5,,10.9,28.1,7.8,50,3.9,339480,50,2.3,48.8,62,7.3,1019.6,1029.9,1027.1,1028.4,9.9,6.6,5.8,8.3,3.7
185,고산,2020-01-06,15,10.2,17.2,.5,11.8,140.6,9.1,140,6.5,563040,140,11.4,61.4,80,13.8,1014,1027.8,1018.9,1022.6,9.9,9.9,7.4,11.4,9.2
185,고산,2020-01-07,16.5,12.6,18.3,13.4,29.6,267.2,26.6,290,12.7,1095120,160,15.2,78,92,17.5,1004.3,1018.9,1007.6,1012.7,9.9,,,15.1,11
185,고산,2020-01-08,7.8,6.2,12.6,.7,29.6,290,25.9,290,18.1,15640,320,3.7,68,75.6,8,1010.1,1023.3,1009.4,1018.9,10.1,9.4,9.1,8,5.8
185,고산,2020-01-09,6.8,6.2,7.3,,16.6,360,13.1,340,9.1,7899,360,2.1,69,72.6,7.1,1014.3,1024.4,1022.1,1023.1,10.1,9.1,5.5,5.8,5
185,고산,2020-01-10,7.7,5.1,11.3,,12,20,9.7,20,5.5,4791,20,2.6,58,70.9,7.4,1012.8,1023.6,1020.1,1021.6,10.1,6,2.9,7.3,3.4
185,고산,2020-01-11,7.7,6.2,8.6,0,13.5,340,11,340,7.3,6334,20,1.9,56,67.3,7.1,1010.1,1021,1016.8,1018.9,10.1,9.4,3.4,6.5,5.4
185,고산,2020-01-12,7.1,6.4,8.2,0,18.7,340,16.2,340,12.1,10453,340,1.1,54,65.9,6.6,1009.9,1021.4,1016.4,1018.7,10.1,8.1,8.1,6.5,5.1
185,고산,2020-01-13,6.5,5.5,7.4,0,17.8,340,13.9,340,7.8,6736,340,.2,57,64.4,6.2,1014.1,1024.2,1020.5,1022.9,10.1,9.1,8.1,6.3,4.8
185,고산,2020-01-14,4.6,2.9,6.5,.7,13.2,20,10.3,20,6.2,5359,50,.9,63,78.1,6.6,1015.3,1027.1,1021.9,1024.2,10.2,8.6,5.1,5.1,1.7
