분류,장소명,카카오맵_장소명,검색_장소명,위도,경도,주소
자연,,,가파도,,,
자연,,,갈마못,,,
자연,,,광치기해변,,,
자연,,,군산,,,
자연,,,마라도,,,
자연,,,만장굴,,,
자연,,,비양도,,,
자연,,,비자림,,,
자연,,,산굼부리,,,
자연,,,산방산,,,
자연,,,새별오름,,,
자연,,,섭지코지,,,
자연,,,성산일출봉,,,
자연,,,송악산,,,
자연,,,쇠소깍,,,
자연,,,수월봉,,,
자연,,,용눈이오름,,,
자연,,,용두암,,,
자연,,,용머리해안,,,
자연,,,우도,,,
자연,,,윗세오름,,,
자연,,,정방폭포,,,
자연,,,차귀도,,,
자연,,,천지연폭포,,,
자연,,,추자도,,,
자연,,,카멜리아힐,,,
자연,,,백록담,,,
자연,,,성판악,,,
자연,,,함덕해수욕장,,,
자연,,,협재해수욕장,,,
체험관광지,,,동광리농촌체험마을,,,
체험관광지,,,알토산정보화마을,,,
문화/예술/역사,,,관음사,,,
문화/예술/역사,,,월정사,,,
문화/예술/역사,,,대한불교조계종천왕사,,,
박물관/전시관/미술관,,,봉황솟대박물관,,,
박물관/전시관/미술관,,,한국야구명예의전당,,,
자연,,,새섬,,,
문화/예술/역사,,,항파두리항몽유적,,,
박물관/전시관/미술관,,,제주돌마을공원수석박물관,,,
