분류,평점검색_장소명,평점,리뷰개수
자연,제주1100고지습지,4.4,1005
자연,제주가세오름,4,2
자연,제주가시오름,4.6,615
자연,제주가파도,4,2
자연,제주감낭오름,4.6,615
자연,제주갑선이오름,4.6,409
자연,제주강정천,4.1,36
자연,제주거문오름,4.6,615
자연,제주거미오름,4.3,4
자연,제주검멀레해변,4.3,2927
자연,제주고근산,4.4,17
자연,제주곽지해수욕장,4.2,746
자연,제주광치기해변,4.6,104
자연,제주괴오름,3.6,8
자연,제주구두리오름,4.6,615
자연,제주군산,4.6,605
자연,제주금능해수욕장,4.6,140
자연,제주금악오름,4.3,517
자연,제주김녕사굴,3.6,13
자연,제주김녕해수욕장,4.2,79
자연,제주큰엉해안경승지,4.3,741
자연,제주높은오름,4.5,6
자연,제주다랑쉬오름,4.6,115
자연,제주도너리오름,4.3,21
자연,제주돈내코유원지,4.4,73
자연,제주따라비오름,4.5,415
자연,제주마라도등대,4.2,14
자연,제주마라도,4.2,166
자연,제주만장굴,4.2,6708
자연,제주모구리오름,4.5,21
자연,제주모지오름,4.5,415
자연,제주무수천,5,2
자연,제주물영아리,4.4,183
자연,제주방선문,3.9,65
자연,제주붉은오름자연휴양림,4.5,46
자연,제주비양도,4.2,85
자연,제주비양봉,4.3,3
자연,제주비자림,4.5,2395
자연,제주사라봉,4.4,653
자연,제주사라오름,4.5,576
자연,제주산굼부리,4.4,2740
자연,제주산방산,4.4,102
자연,제주산지등대,4.5,28
자연,제주산지천,5,4
자연,제주삼양해수욕장,4.2,804
자연,제주삼의봉,4.5,8
자연,제주세미오름,4.5,2
자연,제주새별오름,4.4,205
자연,제주생각하는정원,4.1,1009
자연,제주서건도,4,139
자연,제주서귀포자연휴양림,4.4,653
자연,제주서귀포해양도립공원,4.3,675
자연,제주석부작박물관,3.8,288
자연,제주선흘곶자왈,4.4,37
자연,제주섭지코지,4.3,7542
자연,제주성산일출봉,4.6,750
자연,제주세화해변,4.3,89
자연,제주소남머리,3.9,15
자연,제주소정방폭포,4.3,288
자연,제주손자봉,3.7,3
자연,제주송악산,4.6,486
자연,제주쇠머리오름,4.4,207
자연,제주쇠소깍,4.1,6691
자연,제주수월봉,4.5,73
자연,제주신양섭지해수욕장,3.9,12
자연,제주신천목장,4.1,227
자연,제주쌍용굴,3.7,9
자연,제주아부오름,4.6,49
자연,제주안덕계곡,4.1,418
자연,제주어승생승마장,4.1,129
자연,제주엉또폭포,3.9,337
자연,제주엉알해안,4.4,55
자연,제주여미지식물원,4,1943
자연,제주연화못,4.1,19
자연,제주열안지,4.4,8
자연,제주열안지오름,4.4,8
자연,제주오조마을,4.1,19
자연,제주왕이메,5,1
자연,제주외돌개,4.4,2107
자연,제주용눈이오름,4.5,154
자연,제주용두암,3.8,9782
자연,제주용머리해안,4.4,3015
자연,제주용연구름다리,4.1,726
자연,제주용천동굴,2.8,6
자연,제주우도등대,4.5,311
자연,제주우도산호해변,4.3,2842
자연,제주우도,4.3,201
자연,제주윗세오름,4.4,372
자연,제주월정리해수욕장,4.2,169
자연,제주이호테우해수욕장,4,170
자연,제주저지오름,4.2,66
자연,제주정물알오름,4.6,10
자연,제주정물오름,4.3,21
자연,제주정방폭포,4.4,4818
자연,제주노루생태관찰원,4.1,261
자연,제주당처물동굴,3,9
자연,제주문주란자생지,3,1
자연,제주하도리철새도래지,4.2,16
자연,제주절물자연휴양림,4.5,3148
자연,제주제지기오름,4.2,83
자연,제주종달리해안도로,4.2,5
자연,제주대포주상절리,4.3,5601
자연,제주중문색달해수욕장,4,74
자연,제주지미봉,4.4,14
자연,제주차귀도,4.6,29
자연,제주천아오름,2.3,4
자연,제주천제연폭포,4.3,2493
자연,제주천지연폭포,4.2,335
자연,제주추자도,4.3,25
자연,제주추자도등대,4,27
자연,제주카멜리아힐,4.1,7568
자연,제주폭낭오름,5,1
자연,제주표선해수욕장,4.2,78
자연,제주하고수동해변,4.5,33
자연,제주하모해수욕장,4.3,17
자연,제주한대오름,4,8
자연,제주한라산국립공원,4.6,1476
자연,제주백록담,4.8,51
자연,제주성판악,3.9,397
자연,제주한라산영실,4.6,318
자연,제주한라생태숲,4.4,672
자연,제주한라수목원,4.2,2536
자연,제주함덕해수욕장,4.5,7629
자연,제주한림공원 협재굴,4,149
자연,제주협재해수욕장,4.5,47
자연,제주형제섬,4.5,21
자연,제주혼인지,3.9,384
자연,제주화순금모래해수욕장,3.6,16
자연,제주황우지해안,4.3,491
자연,제주주체오름,4.6,615
체험관광지,제주갈중이,4.3,4
