분류,장소명,위도,경도
건축/조형물,사라봉(모충사) 의병항쟁기념탑,33.5183936,126.5474373
건축/조형물,새섬 새연교,33.2372277,126.5598598
건축/조형물,선임교,33.2515131,126.4171036
건축/조형물,제주해녀항일운동기념탑,33.5415939,126.6429649
문화/예술/역사,관덕정(제주),33.513345,126.521532
문화/예술/역사,관음사(제주),33.4237721,126.5583081
문화/예술/역사,금룡사(제주),33.4996213,126.5311884
문화/예술/역사,대정향교,33.239512,126.288421
문화/예술/역사,명월대,33.3887725,126.2663367
문화/예술/역사,모충사,33.5161786,126.5454746
문화/예술/역사,방사탑(제주),33.4945964,126.4549557
문화/예술/역사,백제사,35.126839,136.288838
문화/예술/역사,법화사,33.2653454,126.4576828
문화/예술/역사,별방진,33.5266056,126.8840271
문화/예술/역사,보덕사(제주),33.4912646,126.5291711
문화/예술/역사,보림사(제주),33.5175674,126.5461967
문화/예술/역사,불탑사(제주),33.5293446,126.5982193
문화/예술/역사,산방굴사(제주),33.2366596,126.3127006
문화/예술/역사,산천단곰솔,33.4467372,126.5546663
문화/예술/역사,서귀본향당,33.2463338,126.5647908
문화/예술/역사,서귀포 김정희 유배지,33.2502804,126.278361
문화/예술/역사,서귀포 하논분화구,33.2551386,126.5706337
문화/예술/역사,선광사(제주),33.2726669,126.6994247
문화/예술/역사,성읍민속마을,33.3863435,126.7997102
문화/예술/역사,신촌향사,33.5364473,126.6206111
문화/예술/역사,알뜨르비행장 및 일본군 비행기 격납고,33.2044378,126.2717056
문화/예술/역사,약천사(제주),33.2453079,126.4496689
문화/예술/역사,양금석가옥,33.291316,126.6286896
문화/예술/역사,연북정,33.540066,126.63616
문화/예술/역사,오현단,33.5103735,126.5259487
문화/예술/역사,월영사(제주),33.4778338,126.4140193
문화/예술/역사,월정사(제주),33.4664894,126.5101456
문화/예술/역사,이중섭 거주지,33.2455433,126.5644134
문화/예술/역사,절부암,33.3236111,126.1669444
문화/예술/역사,정의향교,33.3863923,126.7997317
문화/예술/역사,제주 삼성혈,33.5042628,126.5291923
문화/예술/역사,제주 삼양동 유적,33.523123,126.5878316
문화/예술/역사,제주 성읍마을 고창환 고택,33.3863435,126.7997102
문화/예술/역사,제주 성읍마을 고평오 고택,33.3863435,126.7997102
문화/예술/역사,제주 항파두리 항몽 유적,33.4520718,126.4077366
문화/예술/역사,제주목관아,33.513623,126.5220324
문화/예술/역사,제주민속촌,33.322511,126.841868
문화/예술/역사,제주성지,33.5101235,126.5253377
문화/예술/역사,제주향교,33.5109843,126.5156997
문화/예술/역사,천왕사(제주),33.4088268,126.4940656
문화/예술/역사,평화통일 불사리탑,33.5322075,126.6359211
박물관/전시관/미술관,김영갑 갤러리(두모악),33.3720095,126.8542313
