분류,장소명,카카오맵_장소명,검색_장소명,위도,경도,주소
자연,성산일출봉,성산일출봉,성산일출봉,33.45913497,126.9405375,제주특별자치도 서귀포시 성산읍 성산리 78
자연,세화해변,세화해변,세화해변,33.52514366,126.8602562,제주특별자치도 제주시 구좌읍 세화리 1-1
자연,소남머리,소남머리,소남머리,33.24339616,126.569759,제주특별자치도 서귀포시 송산동
자연,소정방폭포,소정방폭포,소정방폭포,33.24522641,126.5776345,제주특별자치도 서귀포시 서귀동
자연,손지오름,손자봉,손자봉,33.45662365,126.8198323,제주특별자치도 제주시 구좌읍 종달리 산 52
자연,송악산,송악산,송악산,33.19921553,126.2901175,제주특별자치도 서귀포시 대정읍 상모리 산 2
자연,쇠머리오름,쇠머리오름,쇠머리오름,33.49227259,126.9636633,제주특별자치도 제주시 우도면 연평리 산 17
자연,쇠소깍,쇠소깍,쇠소깍,33.25235487,126.624332,제주특별자치도 서귀포시 남원읍 하례리 1889
자연,수악,수악,수악,33.32473827,126.6093767,제주특별자치도 서귀포시 남원읍 하례리 산 10
자연,수월봉,수월봉,수월봉,33.2946169,126.1631723,제주특별자치도 제주시 한경면 고산리 3763
자연,신양섭지코지해변,신양섭지해수욕장,신양섭지해수욕장,33.43510307,126.9234728,제주특별자치도 서귀포시 성산읍 고성리 186-2
자연,신풍신천바다목장,신천목장,신천목장,33.3562684,126.8679163,제주특별자치도 서귀포시 성산읍 신천리 1
자연,쌍용굴,한림공원 쌍용굴,쌍용굴,33.38645018,126.2407225,제주특별자치도 제주시 한림읍 협재리
자연,아부오름,아부오름,아부오름,33.44858418,126.777215,제주특별자치도 제주시 구좌읍 송당리 2263
자연,안덕계곡,안덕계곡,안덕계곡,33.25720217,126.3525826,제주특별자치도 서귀포시 안덕면 감산리 1946
자연,어승생,어승생승마장,어승생승마장,33.4256641,126.490813,제주특별자치도 제주시 노형동 산 14-1
자연,엉또폭포,엉또폭포,엉또폭포,33.26853216,126.4999655,제주특별자치도 서귀포시 강정동 5628
자연,엉알해안,엉알해안,엉알해안,33.29942092,126.1675155,제주특별자치도 제주시 한경면 고산리
자연,여미지식물원,여미지식물원,여미지식물원,33.25260678,126.4142595,제주특별자치도 서귀포시 색달동 2484-1
자연,연화못,연화못,연화못,33.29425782,126.2332898,제주특별자치도 제주시 한경면 청수리 3333-1
자연,열안지,열안지,열안지,33.42576024,126.5212974,제주특별자치도 제주시 오라동 산 97
자연,열안지오름,열안지오름,열안지오름,33.47305474,126.6052914,제주특별자치도 제주시 봉개동 산 778-1
