
[검색조건]
지점명 : 성산, 기간 : 20190101 ~ 20191231
일자,기온(°C),풍속(m/s),체감기온(°C)
2019-01-01,4.5,3.1,2.3
2019-01-02,4.1,2.6,2.2
2019-01-03,4.2,2.7,2.2
2019-01-04,5.9,2.2,4.5
2019-01-05,6.4,3.4,4.3
2019-01-06,4.9,3.7,2.4
2019-01-07,5.4,3.5,3.1
2019-01-08,6,3.9,3.6
2019-01-09,3.9,3.1,1.5
2019-01-10,6.4,3.4,4.3
2019-01-11,7,2.5,5.5
2019-01-12,7.9,3.2,6.2
2019-01-13,6.4,2.8,4.8
2019-01-14,6.5,2.9,4.8
2019-01-15,6.9,4.2,4.6
2019-01-16,2.5,3.9,-0.7
2019-01-17,4.5,3.4,2.1
2019-01-18,5.3,2.5,3.8
2019-01-19,8.5,1.7,7.9
2019-01-20,6.9,4,4.6
2019-01-21,4.8,3.9,2.2
2019-01-22,7,3.4,5.1
2019-01-23,7.8,3.7,5.9
2019-01-24,6.1,3.6,3.8
2019-01-25,5.9,4.2,3.3
2019-01-26,3,4.1,-0.2
2019-01-27,4.8,3.1,2.6
2019-01-28,6.3,3.2,4.6
2019-01-29,5.3,2.4,3.8
2019-01-30,8,2.3,6.9
2019-01-31,4.2,3.6,1.6
2019-02-01,3.6,5.2,0.1
2019-02-02,7.3,3.7,5.7
2019-02-03,14,5.5,12.8
2019-02-04,6.2,3.1,4.3
2019-02-05,8.2,2.3,7.2
2019-02-06,11.1,2,10.7
2019-02-07,6.8,4,4.5
2019-02-08,2.7,4,-0.5
2019-02-09,2.3,4.5,-1.2
2019-02-10,2.7,3.5,-0.3
2019-02-11,3,3.8,-0.1
2019-02-12,4.8,2.8,2.8
2019-02-13,6.1,3,4.3
2019-02-14,5,2.4,3.3
2019-02-15,5.6,2.9,3.7
2019-02-16,4.1,4.5,0.9
2019-02-17,3.7,4.1,0.7
2019-02-18,7,2.7,5.5
2019-02-19,10.1,4.4,8.3
2019-02-20,6.4,3.1,4.5
2019-02-21,6.7,2.6,5.2
2019-02-22,8.4,2.5,7.3
2019-02-23,9.4,3.9,7.6
2019-02-24,11.2,3.3,10.1
2019-02-25,9.1,3.8,7.4
2019-02-26,8.8,2.9,7.5
2019-02-27,10.4,2.4,9.6
2019-02-28,10.1,2.7,9.1
2019-03-01,8.9,3.7,7.1
2019-03-02,10.4,2.6,9.7
2019-03-03,11.7,2.9,10.9
2019-03-04,9.9,4.2,8.2
2019-03-05,10.7,2.4,9.9
2019-03-06,9.9,3.5,8.5
2019-03-07,7.9,4.8,5.5
2019-03-08,8.4,2.4,7.3
2019-03-09,10.4,3.3,9.4
2019-03-10,11.1,5.1,9.4
2019-03-11,10.2,3.9,8.6
2019-03-12,10.1,4.3,8.6
2019-03-13,6.6,3.9,4.5
2019-03-14,7.8,2.4,6.7
2019-03-15,9.8,4.2,8.3
2019-03-16,8.5,2.7,7.3
2019-03-17,11.2,3.5,10
2019-03-18,9.5,1.7,9.2
2019-03-19,12.1,3,11.6
2019-03-20,13.9,3.9,13.3
2019-03-21,12.4,5.3,10.8
2019-03-22,7.2,6.1,4.1
2019-03-23,7.7,4.4,5.4
2019-03-24,6.6,2.6,5.1
2019-03-25,8.4,2,7.6
2019-03-26,13.2,2.7,13
2019-03-27,13.2,5,12.4
2019-03-28,14.5,2,14.4
2019-03-29,13.9,1.6,13.8
2019-03-30,11.5,4.8,10
2019-03-31,7.5,4.6,5.2
2019-04-01,8.8,3.4,7.3
2019-04-02,10.4,3.2,9.2
2019-04-03,9.9,3.4,8.6
2019-04-04,10.3,2.7,9.6
2019-04-05,12.7,2.2,12.6
2019-04-06,13.4,2.4,13.2
2019-04-07,14.9,3.3,14.5
2019-04-08,14.6,2.4,14.5
2019-04-09,14.3,5.3,13.3
2019-04-10,10.6,4.3,8.9
2019-04-11,11,2.4,10.3
2019-04-12,12.4,2.3,12
2019-04-13,12.5,2,12.2
2019-04-14,13.2,2.4,12.8
2019-04-15,12.9,3,12.2
2019-04-16,14.5,1.8,14.4
2019-04-17,14.5,2.1,14.4
2019-04-18,14.9,3.2,14.7
2019-04-19,15.9,3.4,15.7
2019-04-20,16.1,2.6,16
2019-04-21,17.2,1.8,17.2
2019-04-22,18.5,1.8,18.5
2019-04-23,17.2,3.6,16.9
2019-04-24,17.8,1.6,17.8
2019-04-25,16.5,1.5,16.4
2019-04-26,12.5,4.6,11.2
2019-04-27,13.3,3.3,12.7
2019-04-28,15.3,3.2,15
2019-04-29,16,2.7,15.7
2019-04-30,15.1,2.6,15
2019-05-01,15.5,4.2,14.9
2019-05-02,18.4,4.8,18.1
2019-05-03,19.8,3.2,19.8
2019-05-04,17.8,1.8,17.8
2019-05-05,18,2.2,18
2019-05-06,16.1,4.4,15.6
2019-05-07,15.2,3,14.8
2019-05-08,15.7,1.9,15.6
2019-05-09,17.8,2.1,17.8
2019-05-10,17.2,1.8,17.2
2019-05-11,17.2,2,17.2
2019-05-12,18.4,1.9,18.4
2019-05-13,18.8,1.8,18.8
2019-05-14,20,2.3,20
2019-05-15,20.5,1.9,20.5
2019-05-16,20.2,1.7,20.2
2019-05-17,19.6,2.6,19.6
2019-05-18,19.4,6.4,19.3
2019-05-19,19.4,3.4,19.4
2019-05-20,16.9,4.1,16.6
2019-05-21,18.7,4.2,18.4
2019-05-22,19.3,2.1,19.2
2019-05-23,20.8,2.7,20.8
2019-05-24,21.5,0.9,21.5
2019-05-25,20.7,3.5,20.7
2019-05-26,20.1,3,20.1
2019-05-27,19.6,5.6,19.5
2019-05-28,18.4,5,18.1
2019-05-29,21.9,3.1,21.9
2019-05-30,20.5,1.6,20.5
2019-05-31,17.1,2.5,17.1
2019-06-01,18.3,1.9,18.3
2019-06-02,19.6,1.6,19.6
2019-06-03,20,1.8,20
2019-06-04,20.9,1.8,20.9
2019-06-05,22.6,1.5,22.6
2019-06-06,21.6,3.2,21.6
2019-06-07,20.3,7.2,20.1
2019-06-08,18.8,1.8,18.8
2019-06-09,19.1,2.5,19.1
2019-06-10,19.4,2.5,19.4
2019-06-11,19.3,2.5,19.3
2019-06-12,19.1,2.2,19.1
2019-06-13,19.7,2.4,19.7
2019-06-14,19.5,2.7,19.5
2019-06-15,20.4,5.1,20.3
2019-06-16,20.8,4.5,20.7
2019-06-17,20.6,2.5,20.6
2019-06-18,20.5,1.9,20.5
2019-06-19,21.8,2.2,21.8
2019-06-20,22.3,1.7,22.3
2019-06-21,22.4,1.3,22.4
2019-06-22,21.2,2.3,21.2
2019-06-23,20.4,2.3,20.4
2019-06-24,20.5,1.9,20.5
2019-06-25,21.6,2.7,21.6
2019-06-26,22,4.8,22
2019-06-27,23.1,2.1,23.1
2019-06-28,22.8,1.9,22.8
2019-06-29,23.2,3.6,23.2
2019-06-30,23,2.9,23
2019-07-01,22,1.7,22
2019-07-02,21.8,1.5,21.8
2019-07-03,21.7,1.4,21.7
2019-07-04,23.1,1.5,23.1
2019-07-05,23.4,1.5,23.4
2019-07-06,22.6,3,22.6
2019-07-07,22.8,4.2,22.8
2019-07-08,21.3,4.2,21.3
2019-07-09,21.5,3.7,21.5
2019-07-10,22.2,4.9,22.2
2019-07-11,23.8,3.6,23.8
2019-07-12,22.7,2,22.7
2019-07-13,20.7,2.3,20.7
2019-07-14,24.2,2.2,24.2
2019-07-15,23.3,1.7,23.3
2019-07-16,23.4,2,23.4
2019-07-17,23.9,2.7,23.9
2019-07-18,23.5,3.8,23.5
2019-07-19,23.9,4.1,23.9
2019-07-20,23.4,8.4,23.4
2019-07-21,25.2,3.9,25.2
2019-07-22,25.4,3,25.4
2019-07-23,25.7,4.1,25.7
2019-07-24,25.6,5,25.6
2019-07-25,25.9,4.8,25.9
2019-07-26,26.3,4.8,26.3
2019-07-27,26.9,4.8,26.9
2019-07-28,27.1,5,27.1
2019-07-29,27.7,3.9,27.7
2019-07-30,27.3,4.5,27.3
2019-07-31,28.1,4.3,28.1
